id,pose rmsd,pocket rmsd,qs score,lddt-pli
4E6AA,4.9762456592898845,5.3515267167977045,0.6691788668034551,0.6808020645622345
4E6CA,5.2524918531978555,6.275123023648313,0.6827893790683006,0.69441257682708
4E8AA,4.779330919735197,6.177185417295502,0.6808309380122445,0.6924541357710239
4EH2A,5.62499877491232,7.893416981373262,0.629992890185116,0.6416160879438954
4EH3A,5.780986350061316,8.258845917880905,0.6552072735327259,0.6668304712915053
4EH4A,4.064469024101126,7.676535550990751,0.6139105470831966,0.625533744841976
4EH5A,6.459468140612867,6.780281380088863,0.6682314867902547,0.6798546845490341
4EH6A,6.242055041054935,6.057785371414207,0.6377333220360188,0.6493565197947982
4EH7A,4.057845565232588,9.251462444995571,0.661105026197039,0.6727282239558184
4EH8A,4.272464427608186,6.50303053852024,0.67987599771927,0.6914991954780494
4EH9A,5.3650973844630245,7.07369245360365,0.6737535736836381,0.6853767714424175
4EHVA,4.474150896677894,6.37091808265267,0.7020016330777458,0.7136248308365252
4EWQA,5.048387894505014,7.732803837328603,0.6515322474541789,0.6631554452129583
4EZ7A,5.967247353338855,5.900609385299545,0.6662617646866923,0.6778849624454717
4F1MA,5.789381862898435,11.327321633255373,0.6993277270360578,0.7109509247948372
4F1TA,5.263631765461201,8.316368241687098,0.6776005240547882,0.6892237218135676
4FKUA,4.354176494768737,6.252236308082968,0.6970854334260349,0.7087086311848143
4G5JA,5.7879322871607135,5.53877066850763,0.6733254700327497,0.6849486677915291
4I41A,,,,
4IWDA,,,,
4L68A,5.063799526379522,7.483264457752302,0.6176424438817928,0.6292656416405722
4MNEH,5.124421067058502,7.076676560548344,0.6615673118073602,0.6731905095661396
4MWIA,4.906184265603926,6.090228136249131,0.6955242139160895,0.7071474116748689
4O1OA,5.0977976225295825,4.875394458094696,0.6583158287227466,0.669939026481526
4O1OB,4.860383500152077,7.138115113455603,0.6601379350180964,0.6717611327768758
4O1OC,5.798771176370901,5.260550870055524,0.6896139828504068,0.7012371806091862
4O1OD,6.227586725271858,6.208122615866457,0.6763850695563179,0.6880082673150973
4O1PA,4.717110344654313,5.870967065378414,0.6659136103965383,0.6775368081553177
4O1PB,4.2443526677849395,6.400099958180629,0.6814380445834017,0.6930612423421811
4O1PC,5.005469717367201,8.69407811906159,0.6830931126850186,0.694716310443798
4O1PD,,,,
4OLIA,4.5634762229864485,5.998782512344347,0.6753807100278751,0.6870039077866545
4PL3A,5.354830913641801,6.1676708564334,0.6773938424175164,0.6890170401762958
4PL3B,5.2783256343358955,6.343971446503894,0.6708464817380608,0.6824696794968402
4PL4A,5.496125198328488,6.725013304527259,0.6897399887102537,0.7013631864690331
4PL5A,5.7933562144814195,6.251406504490078,0.6521554852238747,0.6637786829826541
4QFRA,6.318893241914872,7.732160291466518,0.6397525182711826,0.651375716029962
4QFSA,5.15991178181937,5.57355938019277,0.6786576636903336,0.690280861449113
4QTDA,4.9974890924276645,6.181846870702007,0.6730449340196589,0.6846681317784383
4R3CA,5.5755461025867765,7.231051943730512,0.6865140702142188,0.6981372679729982
4RQKA,,,,
4RQVA,5.178679080382284,6.528909432951148,0.6891270956751949,0.7007502934339743
4TT7A,6.216408086146422,3.955381643229703,0.6691559205636755,0.6807791183224549
